0,#,FORM,LEMMA,GRAM,COMMENT,CHECKED,CONTEXT,RIGHT1,RIGHT2,RIGHT3,RIGHT4,RIGHT5,RIGHT6,POS,AUTO_LEMMA,AUTO_GRAM,
483,,в,В,PR,,,я ездил когда _в_ пионерский лагерь .,в,,,,,,PR,В,PR,В
484,,пионерский,ПИОНЕРСКИЙ,A - acc sg plen m inan,,,ездил когда в _пионерский_ лагерь . ,й,и,к,с,р,е,A,ПИОНЕРСКИЙ,A - acc sg plen m inan,Й
485,,лагерь,ЛАГЕРЬ,S m inan acc sg,,,когда в пионерский _лагерь_ .  ,ь,р,е,г,а,л,S,ЛАГЕРЬ,S m inan acc sg,Ь
486,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
487,,,,,,,,,,,,,,,,,
488,# sent = 460,,,,,,,,,,,,,,,,
489,,А,А,CONJ,,,.   _А_ у нас был,а,,,,,,CONJ,А,CONJ,А
490,,у,У,PR,,,  А _у_ нас был через,у,,,,,,PR,У,PR,У
491,,нас,МЫ,SPRO pl 1p - gen,,, А у _нас_ был через забор,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
492,,был,БЫТЬ,V ipf praet sg indic m -,,,А у нас _был_ через забор спортивный,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
493,,через,ЧЕРЕЗ,PR,,,у нас был _через_ забор спортивный лагерь,з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
494,,забор,ЗАБОР,S m inan acc sg,,,нас был через _забор_ спортивный лагерь тоже,р,о,б,а,з,,S,ЗАБОР,S m inan acc sg,Р
495,,спортивный,СПОРТИВНЫЙ,A - acc sg plen m inan,,,"был через забор _спортивный_ лагерь тоже ,",й,ы,н,в,и,т,A,СПОРТИВНЫЙ,A - acc sg plen m inan,Й
496,,лагерь,ЛАГЕРЬ,S m inan nom sg,,,"через забор спортивный _лагерь_ тоже , но",ь,р,е,г,а,л,S,ЛАГЕРЬ,S m inan acc sg,Ь
497,,тоже,ТОЖЕ,PART,,,"забор спортивный лагерь _тоже_ , но не",е,ж,о,т,,,PART,ТОЖЕ,PART,Е
498,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
499,,но,НО,CONJ,,,"лагерь тоже , _но_ не на ...",о,н,,,,,CONJ,НО,CONJ,О
500,,не,НЕ,PART,,,"тоже , но _не_ на ... не",е,н,,,,,PART,НЕ,PART,Е
501,,на,НА,PR,,,", но не _на_ ... не тот",а,н,,,,,PR,НА,PR,А
502,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
503,,не,НЕ,PART,,,"не на ... _не_ тот , в",е,н,,,,,PART,НЕ,PART,Е
504,,тот,ТОТ,APRO - nom sg plen m -,,,"на ... не _тот_ , в который",т,о,т,,,,APRO,ТОТ,A - nom sg plen m -,Т
505,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
506,,в,В,PR,,,"не тот , _в_ который я ездил",в,,,,,,PR,В,PR,В
507,,который,КОТОРЫЙ,APRO - acc sg plen m inan,,,"тот , в _который_ я ездил .",й,ы,р,о,т,о,APRO,КОТОРЫЙ,A - acc sg plen m inan,Й
508,,я,Я,SPRO sg 1p - nom,,,", в который _я_ ездил . ",я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
509,,ездил,ЕЗДИТЬ,V ipf praet sg indic m -,,,в который я _ездил_ .  ,л,и,д,з,е,,V,ЕЗДИТЬ,V ipf praet sg indic m -,Ь
510,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
511,,,,,,,,,,,,,,,,,
512,# sent = 461,,,,,,,,,,,,,,,,
513,,Я,Я,SPRO sg 1p - nom,,,".   _Я_ ездил в """,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
514,,ездил,ЕЗДИТЬ,V ipf praet sg indic m -,,,"  Я _ездил_ в "" Нептун",л,и,д,з,е,,V,ЕЗДИТЬ,V ipf praet sg indic m -,Ь
515,,в,В,PR,,," Я ездил _в_ "" Нептун """,в,,,,,,PR,В,PR,В
516,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
517,,Нептун,НЕПТУН,S m inan acc sg,,,"ездил в "" _Нептун_ "" от бассейна",н,у,т,п,е,н,S,НЕПТУН,S m inan nom sg,Н
518,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
519,,от,ОТ,PR,,,""" Нептун "" _от_ бассейна ковровского ,",т,о,,,,,PR,ОТ,PR,Т
520,,бассейна,БАССЕЙН,S m inan gen sg,,,"Нептун "" от _бассейна_ ковровского , а",а,н,й,е,с,с,S,БАССЕЙН,S m inan gen sg,Н
521,,ковровского,КОВРОВСКИЙ,A - gen sg plen m -,,,""" от бассейна _ковровского_ , а у",о,г,о,к,с,в,A,КОВРОВСКИЙ,A - gen sg plen m -,Й
522,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
523,,а,А,CONJ,,,"бассейна ковровского , _а_ у нас был",а,,,,,,CONJ,А,CONJ,А
524,,у,У,PR,,,"ковровского , а _у_ нас был """,у,,,,,,PR,У,PR,У
525,,нас,МЫ,SPRO pl 1p - gen,,,", а у _нас_ был "" Юнга",с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
526,,был,БЫТЬ,V ipf praet sg indic m -,,,"а у нас _был_ "" Юнга """,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
527,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
528,,Юнга,ЮНГА,S m anim nom sg,,,"нас был "" _Юнга_ "" , не",а,г,н,ю,,,S,ЮНГА,S m anim gen sg,А
529,,"""","""",PUNCT,,,,,,,,,,PUNCT,,,
530,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
531,,не,НЕ,PART,,,"Юнга "" , _не_ помню это чей",е,н,,,,,PART,НЕ,PART,Е
532,,помню,ПОМНИТЬ,V ipf praes sg indic - 1p,,,""" , не _помню_ это чей уже",ю,н,м,о,п,,V,ПОМНИТЬ,V ipf praes sg indic - 1p,Ь
533,,это,ЭТО,SPRO n - nom sg,,,", не помню _это_ чей уже вообще",о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
534,,чей,ЧЕЙ,APRO - nom sg plen m inan,,,не помню это _чей_ уже вообще какого,й,е,ч,,,,A,ЧЕЙ,A - nom sg plen m -,Й
535,,уже,УЖЕ,ADV -,,,помню это чей _уже_ вообще какого спортивного,е,ж,у,,,,ADV,УЖЕ,ADV -,Е
536,,вообще,ВООБЩЕ,ADV -,,,это чей уже _вообще_ какого спортивного общества,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
537,,какого,КАКОЙ,APRO - gen sg plen m -,,,"чей уже вообще _какого_ спортивного общества ,",о,г,о,к,а,к,APRO,КАКОЙ,A - gen sg plen m -,Й
538,,спортивного,СПОРТИВНЫЙ,A - gen sg plen n -,,,"уже вообще какого _спортивного_ общества , что",о,г,о,н,в,и,A,СПОРТИВНЫЙ,A - gen sg plen n -,Й
539,,общества,ОБЩЕСТВО,S n inan gen sg,,,"вообще какого спортивного _общества_ , что называется",а,в,т,с,е,щ,S,ОБЩЕСТВО,S n inan gen sg,О
540,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
541,,что,ЧТО,SPRO n - nom sg,,,"спортивного общества , _что_ называется , этот",о,т,ч,,,,CONJ,ЧТО,CONJ,О
542,,называется,НАЗЫВАТЬСЯ,V ipf praes sg indic - 3p,,,"общества , что _называется_ , этот лагерь",я,с,т,е,а,в,V,НАЗЫВАТЬСЯ,V ipf praes sg indic - 3p,Я
543,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
544,,этот,ЭТОТ,APRO - nom sg plen m -,,,"что называется , _этот_ лагерь . ",т,о,т,э,,,APRO,ЭТОТ,A - nom sg plen m -,Т
545,,лагерь,ЛАГЕРЬ,S m inan nom sg,,,"называется , этот _лагерь_ .  ",ь,р,е,г,а,л,S,ЛАГЕРЬ,S m inan nom sg,Ь
546,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
547,,,,,,,,,,,,,,,,,
548,# sent = 462,,,,,,,,,,,,,,,,
549,,Был,БЫТЬ,V ipf praet sg indic m -,,,.   _Был_ через забор .,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
550,,через,ЧЕРЕЗ,PR,,,  Был _через_ забор . ,з,е,р,е,ч,,PR,ЧЕРЕЗ,PR,З
551,,забор,ЗАБОР,S m inan acc sg,,, Был через _забор_ .  ,р,о,б,а,з,,S,ЗАБОР,S m inan acc sg,Р
552,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
553,,,,,,,,,,,,,,,,,
554,# sent = 463,,,,,,,,,,,,,,,,
555,,И,И,CONJ,,,.   _И_ мы у них,и,,,,,,CONJ,И,CONJ,И
556,,мы,МЫ,SPRO pl 1p - nom,,,  И _мы_ у них один,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
557,,у,У,PR,,, И мы _у_ них один раз,у,,,,,,PR,У,PR,У
558,,них,ОНИ,SPRO pl - - gen,,,И мы у _них_ один раз утащили,х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,И
559,,один,ОДИН,ANUM - nom sg plen m -,,,мы у них _один_ раз утащили .,н,и,д,о,,,ANUM,ОДИН,A - nom sg plen m -,Н
560,,раз,РАЗ,S m inan nom sg,,,у них один _раз_ утащили . ,з,а,р,,,,S,РАЗ,S m inan nom sg,З
561,,утащили,УТАЩИТЬ,V pf praet pl indic - -,,,них один раз _утащили_ .  ,и,л,и,щ,а,т,V,УТАЩИТЬ,V pf praet pl indic - -,Ь
562,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
563,,,,,,,,,,,,,,,,,
564,# sent = 464,,,,,,,,,,,,,,,,
565,,Ну,НУ,PART,,,.   _Ну_ я не знаю,у,н,,,,,PART,НУ,PART,У
566,,я,Я,SPRO sg 1p - nom,,,  Ну _я_ не знаю как,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
567,,не,НЕ,PART,,, Ну я _не_ знаю как это,е,н,,,,,PART,НЕ,PART,Е
568,,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,Ну я не _знаю_ как это макет,ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,Ь
569,,как,КАК,PART,,,я не знаю _как_ это макет или,к,а,к,,,,CONJ,КАК,CONJ,К
570,,это,ЭТО,SPRO n - nom sg,,,не знаю как _это_ макет или как,о,т,э,,,,SPRO,ЭТО,S n - nom sg,О
571,,макет,МАКЕТ,S m inan nom sg,,,знаю как это _макет_ или как ...,т,е,к,а,м,,S,МАКЕТ,S m inan nom sg,Т
572,,или,ИЛИ,CONJ,,,как это макет _или_ как ... бывший,и,л,и,,,,CONJ,ИЛИ,CONJ,И
573,,как,КАК,PART,,,"это макет или _как_ ... бывший ,",к,а,к,,,,CONJ,КАК,CONJ,К
574,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
575,,бывший,БЫВШИЙ,A - nom sg plen m -,,,"или как ... _бывший_ , ну ,",й,и,ш,в,ы,б,A,БЫВШИЙ,A - nom sg plen m -,Й
576,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
577,,ну,НУ,PART,,,"... бывший , _ну_ , пулемёт Максим",у,н,,,,,PART,НУ,PART,У
578,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
579,,пулемёт,ПУЛЕМЕТ,S m inan acc sg,,,", ну , _пулемёт_ Максим . ",т,ё,м,е,л,у,S,ПУЛЕМЕТ,S m inan nom sg,Т
580,,Максим,МАКСИМ,S m anim nom sg,,,"ну , пулемёт _Максим_ .  ",м,и,с,к,а,м,S,МАКСИМ,S m anim nom sg,М
581,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
582,,,,,,,,,,,,,,,,,
583,# sent = 465,,,,,,,,,,,,,,,,
584,,То есть,То есть,CONJ,,,.   _То есть_ он не действующий,ь,т,с,е, ,о,CONJ,То есть,ADV -,ь
585,,он,ОН,SPRO sg 3p m nom,,,  То есть _он_ не действующий безусловно,н,о,,,,,SPRO,ОН,SPRO sg 3p m nom,Н
586,,не,НЕ,PART,,, То есть он _не_ действующий безусловно там,е,н,,,,,PART,НЕ,PART,Е
587,,действующий,ДЕЙСТВОВАТЬ,PARTCP ipf inpraes nom sg plen m act -,,,То есть он не _действующий_ безусловно там ну,й,и,щ,ю,у,в,PARTCP,ДЕЙСТВОВАТЬ,PARTCP ipf inpraes acc sg plen m act inan,Ь
588,,безусловно,БЕЗУСЛОВНО,PARENTH,,,он не действующий _безусловно_ там ну ...,о,н,в,о,л,с,ADV,БЕЗУСЛОВНО,ADV -,О
589,,там,ТАМ,ADVPRO,,,не действующий безусловно _там_ ну ... как,м,а,т,,,,ADV,ТАМ,ADV -,М
590,,ну,НУ,PART,,,действующий безусловно там _ну_ ... как ...,у,н,,,,,PART,НУ,PART,У
591,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
592,,как,КАК,PART,,,там ну ... _как_ ... ну вот,к,а,к,,,,CONJ,КАК,CONJ,К
593,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
594,,ну,НУ,PART,,,... как ... _ну_ вот прям реально,у,н,,,,,PART,НУ,PART,У
595,,вот,ВОТ,PART,,,как ... ну _вот_ прям реально натуральный,т,о,в,,,,PART,ВОТ,PART,Т
596,,прям,ПРЯМОЙ,PART,,,... ну вот _прям_ реально натуральный по,м,я,р,п,,,A,ПРЯМОЙ,A - - sg brev m -,Й
597,,реально,РЕАЛЬНО,ADV -,,,ну вот прям _реально_ натуральный по виду,о,н,ь,л,а,е,ADV,РЕАЛЬНО,ADV -,О
598,,натуральный,НАТУРАЛЬНЫЙ,A - nom sg plen m -,,,вот прям реально _натуральный_ по виду как,й,ы,н,ь,л,а,A,НАТУРАЛЬНЫЙ,A - nom sg plen m -,Й
599,,по,ПО,PR,,,прям реально натуральный _по_ виду как пулемёт,о,п,,,,,PR,ПО,PR,О
600,,виду,ВИД,S m inan dat sg,,,реально натуральный по _виду_ как пулемёт .,у,д,и,в,,,S,ВИД,S m inan loc2 sg,Д
601,,как,КАК,CONJ,,,натуральный по виду _как_ пулемёт . ,к,а,к,,,,CONJ,КАК,CONJ,К
602,,пулемёт,ПУЛЕМЕТ,S m inan nom sg,,,по виду как _пулемёт_ .  ,т,ё,м,е,л,у,S,ПУЛЕМЕТ,S m inan nom sg,Т
603,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
604,,,,,,,,,,,,,,,,,
605,# sent = 466,,,,,,,,,,,,,,,,
606,,Там,ТАМ,ADVPRO,,,.   _Там_ видимо какие-то детали,м,а,т,,,,ADV,ТАМ,ADV -,М
607,,видимо,ВИДИМО,PARENTH,,,  Там _видимо_ какие-то детали у,о,м,и,д,и,в,ADV,ВИДИМО,ADV -,О
608,,какие-то,КАКОЙ-ТО,APRO - nom pl plen - -,,, Там видимо _какие-то_ детали у него,о,т,-,е,и,к,APRO,КАКОЙ-ТО,A - nom pl plen - -,О
609,,детали,ДЕТАЛЬ,S f inan nom pl,,,Там видимо какие-то _детали_ у него были,и,л,а,т,е,д,S,ДЕТАЛЬ,S f inan nom pl,Ь
610,,у,У,PR,,,видимо какие-то детали _у_ него были сняты,у,,,,,,PR,У,PR,У
611,,него,ОН,SPRO sg 3p m gen,,,какие-то детали у _него_ были сняты .,о,г,е,н,,,SPRO,ОН,SPRO sg 3p m acc,Н
612,,были,БЫТЬ,V ipf praet pl indic - -,,,детали у него _были_ сняты . ,и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
613,,сняты,СНЯТОЙ,A - - pl brev - -,,,у него были _сняты_ .  ,ы,т,я,н,с,,A,СНЯТОЙ,A - - pl brev - -,Й
614,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
615,,,,,,,,,,,,,,,,,
616,# sent = 467,,,,,,,,,,,,,,,,
617,,Я,Я,SPRO sg 1p - nom,,,.   _Я_ в этом как,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
618,,в,В,PR,,,  Я _в_ этом как говорится,в,,,,,,PR,В,PR,В
619,,этом,ЭТО,SPRO n - loc sg,,, Я в _этом_ как говорится тогда,м,о,т,э,,,SPRO,ЭТО,S n - loc sg,О
620,,как,КАК,CONJ,,,Я в этом _как_ говорится тогда не,к,а,к,,,,CONJ,КАК,CONJ,К
621,,говорится,ГОВОРИТЬСЯ,V ipf praes sg indic - 3p,,,в этом как _говорится_ тогда не разбир,я,с,т,и,р,о,V,ГОВОРИТЬСЯ,V ipf praes sg indic - 3p,Я
622,,тогда,ТОГДА,ADVPRO,,,этом как говорится _тогда_ не разбир ...,а,д,г,о,т,,ADV,ТОГДА,ADV -,А
623,,не,НЕ,PART,,,как говорится тогда _не_ разбир ... и,е,н,,,,,PART,НЕ,PART,Е
624,,разбир,РАЗБИРАТЬСЯ,NONLEX,distort,,говорится тогда не _разбир_ ... и сейчас,р,и,б,з,а,р,NONLEX,РАЗБИРАТЬСЯ,NONLEX,Я
625,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
626,,и,И,CONJ,,,не разбир ... _и_ сейчас я в,и,,,,,,CONJ,И,CONJ,И
627,,сейчас,СЕЙЧАС,ADV -,,,разбир ... и _сейчас_ я в этом,с,а,ч,й,е,с,ADV,СЕЙЧАС,ADV -,С
628,,я,Я,SPRO sg 1p - nom,,,... и сейчас _я_ в этом тоже,я,,,,,,SPRO,Я,SPRO sg 1p - nom,Я
629,,в,В,PR,,,и сейчас я _в_ этом тоже не,в,,,,,,PR,В,PR,В
630,,этом,ЭТО,SPRO n - loc sg,,,сейчас я в _этом_ тоже не разбираюсь,м,о,т,э,,,SPRO,ЭТО,S n - loc sg,О
631,,тоже,ТОЖЕ,PART,,,я в этом _тоже_ не разбираюсь .,е,ж,о,т,,,PART,ТОЖЕ,PART,Е
632,,не,НЕ,PART,,,в этом тоже _не_ разбираюсь . ,е,н,,,,,PART,НЕ,PART,Е
633,,разбираюсь,РАЗБИРАТЬСЯ,V ipf praes sg indic - 1p,,,этом тоже не _разбираюсь_ .  ,ь,с,ю,а,р,и,V,РАЗБИРАТЬСЯ,V ipf praes sg indic - 1p,Я
634,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
635,,,,,,,,,,,,,,,,,
636,# sent = 468,,,,,,,,,,,,,,,,
637,# speaker = Илья,,,,,,,,,,,,,,,,
638,# sent = 469,,,,,,,,,,,,,,,,
639,,Тяжеленная,ТЯЖЕЛЕННЫЙ,A - nom sg plen f -,,,   _Тяжеленная_ такая блин дура,я,а,н,н,е,л,A,ТЯЖЕЛЕННЫЙ,A - nom sg plen f -,Й
640,,такая,ТАКОЙ,APRO - nom sg plen f -,,,  Тяжеленная _такая_ блин дура .,я,а,к,а,т,,APRO,ТАКОЙ,A - nom sg plen f -,Й
641,,блин,БЛИН,INTL,,, Тяжеленная такая _блин_ дура . ,н,и,л,б,,,S,БЛИН,S m inan acc sg,Н
642,,дура,ДУРА,S f anim nom sg,,,Тяжеленная такая блин _дура_ .  ,а,р,у,д,,,S,ДУРА,S f anim nom sg,А
643,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
644,,,,,,,,,,,,,,,,,
645,# sent = 470,,,,,,,,,,,,,,,,
646,,Его,ОН,SPRO sg 3p m acc,,,".   _Его_ надо тащить ,",о,г,е,,,,SPRO,ОН,SPRO sg 3p m acc,Н
647,,надо,НАДО,PRAEDIC,,,"  Его _надо_ тащить , ну",о,д,а,н,,,PRAEDIC,НАДО,ADV -,О
648,,тащить,ТАЩИТЬ,V ipf - - inf - -,,," Его надо _тащить_ , ну несколько",ь,т,и,щ,а,т,V,ТАЩИТЬ,V ipf - - inf - -,Ь
649,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
650,,ну,НУ,PART,,,"надо тащить , _ну_ несколько человек ,",у,н,,,,,PART,НУ,PART,У
651,,несколько,НЕСКОЛЬКО,NUM - - -,,,"тащить , ну _несколько_ человек , не",о,к,ь,л,о,к,NUM,НЕСКОЛЬКО,NUM - - -,О
652,,человек,ЧЕЛОВЕК,S m anim gen sg,,,", ну несколько _человек_ , не знаю",к,е,в,о,л,е,S,ЧЕЛОВЕК,S m anim nom sg,К
653,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
654,,не,НЕ,PART,,,"несколько человек , _не_ знаю как его",е,н,,,,,PART,НЕ,PART,Е
655,,знаю,ЗНАТЬ,V ipf praes sg indic - 1p,,,"человек , не _знаю_ как его там",ю,а,н,з,,,V,ЗНАТЬ,V ipf praes sg indic - 1p,Ь
656,,как,КАК,CONJ,,,", не знаю _как_ его там в",к,а,к,,,,CONJ,КАК,CONJ,К
657,,его,ОН,SPRO sg 3p m acc,,,не знаю как _его_ там в бою,о,г,е,,,,SPRO,ОН,SPRO sg 3p m acc,Н
658,,там,ТАМ,ADVPRO,,,знаю как его _там_ в бою носили,м,а,т,,,,ADV,ТАМ,ADV -,М
659,,в,В,PR,,,как его там _в_ бою носили .,в,,,,,,PR,В,PR,В
660,,бою,БОЙ,S m inan loc2 sg,,,его там в _бою_ носили . ,ю,о,б,,,,S,БОЙ,S m inan loc2 sg,Й
661,,носили,НОСИТЬ,V ipf praet pl indic - -,,,там в бою _носили_ .  ,и,л,и,с,о,н,V,НОСИТЬ,V ipf praet pl indic - -,Ь
662,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
663,,,,,,,,,,,,,,,,,
664,# sent = 471,,,,,,,,,,,,,,,,
665,,Тяжеленная,ТЯЖЕЛЕННЫЙ,A - nom sg plen f -,,,.   _Тяжеленная_ вещь вообще .,я,а,н,н,е,л,A,ТЯЖЕЛЕННЫЙ,A - nom sg plen f -,Й
666,,вещь,ВЕЩЬ,S f inan nom sg,,,  Тяжеленная _вещь_ вообще . ,ь,щ,е,в,,,S,ВЕЩЬ,S f inan nom sg,Ь
667,,вообще,ВООБЩЕ,ADV -,,, Тяжеленная вещь _вообще_ .  ,е,щ,б,о,о,в,ADV,ВООБЩЕ,ADV -,Е
668,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
669,,,,,,,,,,,,,,,,,
670,# sent = 472,,,,,,,,,,,,,,,,
671,,Ну,НУ,PART,,,.   _Ну_ мы же дети,у,н,,,,,PART,НУ,PART,У
672,,мы,МЫ,SPRO pl 1p - nom,,,"  Ну _мы_ же дети ,",ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
673,,же,ЖЕ,PART,,," Ну мы _же_ дети , конечно",е,ж,,,,,PART,ЖЕ,PART,Е
674,,дети,РЕБЕНОК,S m anim nom pl,,,"Ну мы же _дети_ , конечно ,",и,т,е,д,,,S,РЕБЕНОК,S m anim nom pl,К
675,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
676,,конечно,КОНЕЧНО,PARENTH,,,"же дети , _конечно_ , были ещё",о,н,ч,е,н,о,ADV,КОНЕЧНО,ADV -,О
677,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
678,,были,БЫТЬ,V ipf praet pl indic - -,,,", конечно , _были_ ещё , тогда",и,л,ы,б,,,V,БЫТЬ,V ipf praet pl indic - -,Ь
679,,ещё,ЕЩЕ,ADV -,,,"конечно , были _ещё_ , тогда нам",ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
680,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
681,,тогда,ТОГДА,ADVPRO,,,"были ещё , _тогда_ нам было ещё",а,д,г,о,т,,ADV,ТОГДА,ADV -,А
682,,нам,МЫ,SPRO pl 1p - dat,,,"ещё , тогда _нам_ было ещё тежелее",м,а,н,,,,SPRO,МЫ,SPRO pl 1p - dat,Ы
683,,было,БЫТЬ,V ipf praet sg indic n -,,,", тогда нам _было_ ещё тежелее .",о,л,ы,б,,,V,БЫТЬ,V ipf praet sg indic n -,Ь
684,,ещё,ЕЩЕ,ADV -,,,тогда нам было _ещё_ тежелее . ,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
685,,тежелее,ТЕЖЕЛО,ADV comp,,,нам было ещё _тежелее_ .  ,е,е,л,е,ж,е,ADV,ТЕЖЕЛО,ADV comp,О
686,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
687,,,,,,,,,,,,,,,,,
688,# sent = 473,,,,,,,,,,,,,,,,
689,,Вот,ВОТ,PART,,,.   _Вот_ мы у них,т,о,в,,,,PART,ВОТ,PART,Т
690,,мы,МЫ,SPRO pl 1p - nom,,,  Вот _мы_ у них сперли,ы,м,,,,,SPRO,МЫ,SPRO pl 1p - nom,Ы
691,,у,У,PR,,, Вот мы _у_ них сперли пулемёт,у,,,,,,PR,У,PR,У
692,,них,ОНИ,SPRO pl - - gen,,,"Вот мы у _них_ сперли пулемёт ,",х,и,н,,,,SPRO,ОНИ,SPRO pl - - loc,И
693,,сперли,СПЕРЕТЬ,V pf praet pl indic - -,,,"мы у них _сперли_ пулемёт , в",и,л,р,е,п,с,V,СПЕРЕТЬ,V pf praet pl indic - -,Ь
694,,пулемёт,ПУЛЕМЕТ,S m inan acc sg,,,"у них сперли _пулемёт_ , в кустах",т,ё,м,е,л,у,S,ПУЛЕМЕТ,S m inan nom sg,Т
695,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
696,,в,В,PR,,,"сперли пулемёт , _в_ кустах спрятали ,",в,,,,,,PR,В,PR,В
697,,кустах,КУСТ,S m inan loc pl,,,"пулемёт , в _кустах_ спрятали , ну",х,а,т,с,у,к,S,КУСТ,S m inan loc pl,Т
698,,спрятали,СПРЯТАТЬ,V pf praet pl indic - -,,,", в кустах _спрятали_ , ну ,",и,л,а,т,я,р,V,СПРЯТАТЬ,V pf praet pl indic - -,Ь
699,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
700,,ну,НУ,PART,,,"кустах спрятали , _ну_ , потом ...",у,н,,,,,PART,НУ,PART,У
701,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
702,,потом,ПОТОМ,ADVPRO,,,", ну , _потом_ ... вернули как бы",м,о,т,о,п,,ADV,ПОТОМ,ADV -,М
703,,...,...,PUNCT,,,,,,,,,,PUNCT,,,
704,,вернули,ВЕРНУТЬ,V pf praet pl indic - -,,,", потом ... _вернули_ как бы . ",и,л,у,н,р,е,V,ВЕРНУТЬ,V pf praet pl indic - -,Ь
705,,как бы,как бы,PART,,,потом ... вернули _как бы_ .  ,ы,б, ,к,а,к,PART,как бы,ADV -,ы
706,,.,.,PUNCT,,,,,,,,,,PUNCT,,,
707,,,,,,,,,,,,,,,,,
708,# sent = 474,,,,,,,,,,,,,,,,
709,# speaker = Илья,,,,,,,,,,,,,,,,
710,# sent = 475,,,,,,,,,,,,,,,,
711,,Ещё,ЕЩЕ,ADV -,,,   _Ещё_ у нас был,ё,щ,е,,,,ADV,ЕЩЕ,ADV -,Е
712,,у,У,PR,,,  Ещё _у_ нас был один,у,,,,,,PR,У,PR,У
713,,нас,МЫ,SPRO pl 1p - gen,,, Ещё у _нас_ был один интересный,с,а,н,,,,SPRO,МЫ,SPRO pl 1p - loc,Ы
714,,был,БЫТЬ,V ipf praet sg indic m -,,,Ещё у нас _был_ один интересный случай,л,ы,б,,,,V,БЫТЬ,V ipf praet sg indic m -,Ь
715,,один,ОДИН,ANUM - nom sg plen m -,,,"у нас был _один_ интересный случай ,",н,и,д,о,,,ANUM,ОДИН,A - nom sg plen m -,Н
716,,интересный,ИНТЕРЕСНЫЙ,A - nom sg plen m -,,,"нас был один _интересный_ случай , это",й,ы,н,с,е,р,A,ИНТЕРЕСНЫЙ,A - nom sg plen m -,Й
717,,случай,СЛУЧАЙ,S m inan nom sg,,,"был один интересный _случай_ , это уже",й,а,ч,у,л,с,S,СЛУЧАЙ,S m inan nom sg,Й
718,,",",",",PUNCT,,,,,,,,,,PUNCT,,,
